car,price,body,mileage,engV,engType,registration,year,model,drive
Ford,15500.0,crossover,68,2.5,Gas,yes,2010,Kuga,full
Mercedes-Benz,20500.0,sedan,173,1.8,Gas,yes,2011,E-Class,rear
Mercedes-Benz,35000.0,other,135,5.5,Petrol,yes,2008,CL 550,rear
Mercedes-Benz,17800.0,van,162,1.8,Diesel,yes,2012,B 180,front
Mercedes-Benz,33000.0,vagon,91,,Other,yes,2013,E-Class,
Nissan,16600.0,crossover,83,2.0,Petrol,yes,2013,X-Trail,full
Honda,6500.0,sedan,199,2.0,Petrol,yes,2003,Accord,front
Renault,10500.0,vagon,185,1.5,Diesel,yes,2011,Megane,front
Mercedes-Benz,21500.0,sedan,146,1.8,Gas,yes,2012,E-Class,rear
Mercedes-Benz,22700.0,sedan,125,2.2,Diesel,yes,2010,E-Class,rear
Nissan,20447.154,crossover,0,1.2,Petrol,yes,2016,Qashqai,front
Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011,E-Class,rear
Mercedes-Benz,22500.0,sedan,164,1.8,Gas,yes,2012,E-Class,rear
BMW,4700.0,sedan,200,,Petrol,yes,1996,316,rear
Mercedes-Benz,21500.0,sedan,159,1.8,Gas,yes,2012,E-Class,rear
BMW,19999.0,sedan,290,4.8,Petrol,yes,2006,750,rear
BMW,129222.0,sedan,2,5.0,Petrol,yes,2016,750,full
Mercedes-Benz,99999.0,crossover,0,3.0,Petrol,yes,2016,GLE-Class,full
Nissan,16600.0,crossover,83,2.0,Petrol,yes,2013,X-Trail,full
BMW,73900.0,sedan,57,4.4,Petrol,yes,2013,M5,rear
Land Rover,0.0,crossover,0,4.4,Diesel,yes,2016,Range Rover,full
Nissan,26033.553,crossover,0,1.6,Diesel,yes,2016,X-Trail,full
BMW,104999.0,crossover,2,3.0,Diesel,yes,2016,X5,full
BMW,66500.0,crossover,1,2.0,Diesel,yes,2016,X5,full
BMW,65099.0,crossover,0,2.0,Diesel,yes,2016,X5,full
BMW,23900.0,crossover,235,3.0,Diesel,yes,2007,X5,full
Mercedes-Benz,69999.0,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full
BMW,66200.0,crossover,70,3.0,Diesel,yes,2014,X5,full
BMW,63000.0,crossover,0,2.0,Diesel,yes,2015,X5,full
Mercedes-Benz,105999.0,crossover,0,2.98,Diesel,yes,2016,GLE-Class,full
Nissan,13980.0,hatch,31,,Other,yes,2013,Leaf,front
Nissan,17300.0,hatch,24,,Other,yes,2013,Leaf,front
Volkswagen,10700.0,sedan,147,2.0,Petrol,yes,2007,Passat B6,front
Audi,2600.0,vagon,273,2.5,Diesel,no,1999,A6,front
Chrysler,13700.0,sedan,70,2.4,Petrol,yes,2008,Sebring,front
Volkswagen,8999.0,sedan,120,2.0,Petrol,yes,2008,Passat B6,front
Jaguar,18777.0,sedan,82,3.0,Petrol,yes,2008,XF,rear
Audi,2850.0,sedan,260,,Other,no,1999,A6,
Audi,37000.0,sedan,37,2.8,Petrol,yes,2012,A6,full
Mercedes-Benz,200000.0,van,19,3.5,Petrol,yes,2013,Sprinter 324 ïàññ.,rear
Audi,3850.0,vagon,215,2.5,Diesel,no,2002,A6,front
Nissan,13275.0,hatch,12,,Other,yes,2013,Leaf,front
Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011,E-Class,rear
BMW,1900.0,sedan,300,2.5,Diesel,no,1997,5 Series,rear
BMW,39333.0,sedan,6,2.0,Petrol,yes,2016,520,
Mercedes-Benz,99999.0,crossover,0,2.99,Diesel,yes,2016,GLE-Class,full
